類型,年份,樓層,總坪數,房間數,價位（萬）
電梯大樓,2.2,6,19.87,6,4150
電梯大樓,0.9,12,24.36,7,2388
電梯大樓,29.7,11,37.93,3,2580
電梯大樓,30.8,15,84.94,10,14666
公寓,42.9,4,30.23,7,5550
電梯大樓,30.2,14,24.18,6.5,2680
公寓,38.5,5,45,8,3280
電梯大樓,46.9,7,48.12,8,4680
電梯大樓,27.9,25,89.42,11,12380
電梯大樓,6.7,11,5.82,3,950
公寓,40.7,4,36.12,7,2998
電梯大樓,5,10,8.65,3,1750
電梯大樓,8,14,36.22,8,4600
電梯大樓,16.7,14,35.47,8,4588
電梯大樓,10,11,16.42,2,2680
別墅,18.3,5,57.73,13,3280
公寓,34.4,5,21.59,6,1113
電梯大樓,11.3,8,19.75,2,3800
公寓,47.8,4,21.46,5,2250
電梯大樓,7.6,14,24.42,3,4980
電梯大樓,8.9,6,4.61,2,710
電梯大樓,35.5,16,44.41,4,4680
