總坪數,價位（萬）
40.2,3800
32.05,1753
37.35,4700
32.2,2780
20.3,1998
29.26,2700
19.35,1680
55.64,13800
39.36,2798
240.13,16500
38.24,2980
19.28,1280
28.34,2990
32.44,3180
14.03,1370
37.18,2350
39.28,4988
19.38,1890
17.81,3980
29.18,3080
8.61,550
50.06,9888
28.3,3588
49.97,8300
21.96,1598
32.33,1550
27.88,2500
28.95,1180
57.51,13300
26.71,1450
28.01,1430
60.56,7980
26.01,2280
8.39,968
16.62,1550
11.1,2150
45.54,3500
29.75,2550
20.67,1350
46.21,8900
26.64,5680
18.93,2380
33.42,2460
8.98,699
47.36,8500
19.06,1198
33.39,5888
21.5,1680
47.69,3700
15.08,1700
29.13,2290
44.18,4980
40.58,3380
12.86,1380
17,1318
31.92,1790
25.75,1978
35.82,5500
23.49,2668
68.79,6980
37.25,4680
6.68,1191
38.75,5558
15.51,2580
34.4,1980
16.34,2330
53.54,12998
47.67,5500
29.84,2930
36.94,2980
20.83,2598
4.97,515
30.69,2380
38.25,2480
30.85,8500
21.48,1988
28.17,5400
20.81,930
133.23,10800
15.43,8200
36.27,3688
0,15800
29.39,1080
36.68,2180
22.85,1369
9.04,1508
34.86,2280
31.78,1658
14.66,1580
8.26,798
35.91,3150
22.44,3988
14.63,6500
37.08,6800
40.25,2680
30.13,3880
22.88,1448
32.74,1680
133.05,13500
38.1,4988
32.14,2240
25.05,1480
38.94,4580
10.93,888
29.31,1580
45.59,9168
44.53,4988
16.64,2450
88.15,22300
115.64,32500
30.26,2800
16.64,2598
26.03,3880
36.88,4468
16.59,1980
19.72,1288
52,7083
43.57,1798
23.81,4800
8.97,1422
33.67,3300
29.88,3788
9.43,1180
41.8,6980
42.14,4288
9.3,600
15.99,1800
7.72,730
8.14,1388
62.34,10800
6.86,858
20.82,1798
39.5,3680
58.03,11752
75,8800
5.96,390
72.42,4280
33.37,2680
30.83,3680
46.91,11500
17.85,1328
8.52,1688
38.73,4680
12.22,1980
11.3,1680
12.92,3380
11.39,1500
42.91,5888
37.34,4200
6.85,748
43.08,12390
31.23,3688
33.14,4950
32.66,9900
19.71,2980
33.67,4088
39.05,4200
38.7,2980
35.47,2798
29.85,2000
23.82,888
21.68,3368
12.2,1350
16.69,1350
28.98,1680
96.26,16800
29.12,2600
32.89,3180
38.66,2388
54.75,15800
33.53,2880
12.44,1380
23.29,5500
35.25,6800
9.31,950
16.11,1880
36.82,2890
28.01,7800
7.17,698
14.42,2296
15.11,2990
20.72,2180
50.89,4800
27.48,3550
46.04,3350
37.08,7200
32.11,1880
21.82,2348
43.39,8841
64.84,5930
14.81,2588
39.01,3480
10,3998
32.49,3480
118.83,15000
33.84,3788
37.31,6990
39.05,3880
13.6,2288
40.57,2850
36.86,3500
10.85,700
14.86,2200
30.32,9026
22.99,1750
21.63,1760
27.44,4100
33.74,3830
39.32,4980
13.93,798
32.7,3700
41.3,9280
31.52,2300
12.04,2580
32.43,1500
8.69,1250
14.85,3980
41.76,4580
28.77,3780
43.31,4998
8.76,698
25.07,2980
42.71,5680
33.98,7680
21.04,2968
43.45,8866
24.35,1688
17.94,1850
28.15,1998
27.4,2298
27.76,1350
16.66,1800
12.48,2180
35.04,1400
19.07,2450
24.37,1150
19.01,1750
8.54,498
9.09,1140
28.66,2100
22.95,5300
26.15,8472
25.62,2980
43.61,4145
18.18,3958
19.88,2398
17.67,2180
18.03,2630
5.54,920
21.6,2980
4.33,980
8.15,930
22.54,3680
29.31,2950
26.05,2450
14.26,1398
37.08,4280
26.71,1450
28.01,1430
60.56,7980
26.01,2280
8.39,968
16.62,1550
11.1,2150
45.54,3500
54.97,8800
74.54,8300
15.92,2480
43.91,4680
30.78,2980
33.6,3250
29.61,3750
37.02,2880
36.01,5380
31.03,4700
32.98,2480
31.72,1298
8.68,1198
14.78,1768
13.7,3480
10.07,798
32.72,2668
17.98,1960
29.11,1680
14.48,1080
11.28,1199
27.98,3588
8.35,1298
38.94,4800
42.1,6280
18.29,1880
34.07,6654
10.3,1380
37.11,5200
34.47,1198
110.02,21800
50.65,4988
17.39,3480
37.94,2980
39.87,7980
33.45,2968
8.05,1360
26.05,2760
21.26,1350
7.18,528
31.21,1780
46.32,2220
42.74,4560
33.98,4730
37.24,2280
14.65,2880
32.35,2380
47.34,4088
28.73,3500
24.68,1780
35.34,2700
8.07,880
28.75,2988
58.14,6280
35.29,2380
24.84,2470
47.69,2950
24.11,2430
29.86,4500
19.48,2800
16.79,958
17.45,1780
50.64,7288
34.7,3580
29.6,2605
36.54,3800
35.83,4388
24.86,5300
9.72,1960
29.88,3580
22.49,3260
12.81,1400
29.55,1566
33.66,2320
23.4,2180
24.68,1180
37.31,3658
23.5,2250
27.11,1360
22.12,2700
23.94,2288
22.79,1280
31.82,2480
15.31,2370
24.98,980
40.65,4500
34,2088
36.11,3680
44.1,2190
13.6,1668
36.94,3580
43.35,2658
18.44,2300
8.05,1080
12.98,2200
90.86,28735
8.44,1320
61.95,6988
9.25,1038
24.23,2749
15.56,1780
12.69,2180
18.33,3480
40.75,4680
10.57,1650
34.85,2488
49.33,6188
14.85,1750
13.88,1750
35.91,4250
17.82,2280
11.45,2980
33.63,1998
19.99,2450
75.28,11500
25.39,2580
67.98,7900
14.2,1980
27.96,2200
31.47,2180
29.67,3160
23.28,1120
42.48,2854
12.37,1880
48.34,12300
19.09,1150
19.09,2298
34.94,3350
18.1,1177
17.66,1280
42.99,5920
40.75,5480
39.32,3500
31.12,3180
137.69,10500
38.22,5180
17.82,1450
13.32,1550
404.72,10880
16.06,2980
25.61,9500
26.39,2980
32.62,3200
56.97,8888
13.5,1380
4.3,750
26.5,12800
28.56,2280
9.33,1580
5.97,1158
64.22,18248
26.73,1600
32.39,1588
29.02,1700
13.94,768
17.33,2050
19.58,1540
28.4,3760
34.88,1650
52.81,6980
37.06,5150
35.65,3400
23.86,1680
7.07,1280
15.58,2250
33.46,1750
39.09,3300
10.88,1700
42.02,4990
20.13,1450
49.38,8888
26.94,2050
25.12,2580
55.53,6200
10.59,756
28.96,2380
36.91,13800
27.31,3580
60.63,6399
34.28,3380
76.84,4980
42.23,4700
8.81,1088
13.46,1280
30.84,1800
40.2,6380
39.31,4100
16.27,1680
27.93,1650
40.71,2200
14.62,1150
28.5,2188
25.94,2780
46.58,2599
31.52,1420
48.79,6800
38.64,3988
38.2,3820
42.46,3880
31.88,2680
20.56,998
16.54,2698
16.22,2380
7.81,1100
53.42,3388
27.27,1180
35.77,6900
16.25,3670
32.11,4590
34.69,3750
19.22,2780
38.71,12300
26.68,1580
39.34,6350
27.83,2900
10.05,2080
13.85,2900
35.09,3180
47.95,10666
215.13,22000
11.49,838
51.45,3550
7.49,1180
15.69,1800
37.09,3188
8.12,768
19.61,2780
35.45,2380
17.74,1998
25.15,1180
33.7,2250
31.34,1278
39.48,4446
10.24,1480
12.89,1080
39.87,4280
89.18,18000
28.75,2480
23.55,5000
30.5,1680
31.37,3580
13.94,1268
19.82,3480
25.23,2800
56.14,9488
52.78,2750
18.2,3998
36.57,2388
17.78,2250
52.08,10590
34.02,2650
6.39,810
25.51,3200
41.3,3880
12.56,2770
35.27,3650
31.5,2150
210.54,12000
80.95,33982
17.97,2120
22.32,4288
39.27,8488
56.53,3750
31.67,1598
26.31,2380
12.37,2188
33.48,1980
42.29,5680
26.9,1700
39.22,2080
42.04,3088
24.76,1060
14.96,1800
27.99,2500
24.36,2288
66.21,15800
17.85,990
64.08,26000
20.63,2668
24.59,1998
7.98,650
34.65,1886
10.83,770
31.02,4100
43.37,7500
28.77,3480
46.95,7800
16.4,1880
48.63,4980
8.93,718
9.88,998
31.89,4180
54.97,8800
74.54,8300
15.92,2480
43.91,4680
30.78,2980
33.6,3250
29.61,3750
37.02,2880
36.01,5380
31.03,4700
32.98,2480
31.72,1298
74.55,5980
18.09,1800
29.86,7580
32.74,3680
25.2,1450
26.45,4480
24.73,1958
8.21,1250
27,2550
27.94,3980
32.68,4350
31.05,1880
50.77,4600
15,1798
23.03,1480
22.79,1198
69.21,9200
42.68,3288
23.81,1950
15.49,2060
28.95,1138
27.25,2280
